"시도교육청","시도교육청코드","교육지원청","교육지원청코드","지역","지역코드","소재지구분코드","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","동복구매방식(학교주관구매)","동복구매방식(공동구매)","동복구매방식(개별구매)","동복구매방식(기타)","동복구매방식(기타사유)","동복구매방식(해당없음)","동복(평균)가격","하복구매방식(학교주관구매)","하복구매방식(공동구매)","하복구매방식(개별구매)","하복구매방식(기타)","하복구매방식(기타사유)","하복구매방식(해당없음)","하복(평균)가격","학교과정구분값(2-3-4)","학교과정구분명(초-중-고)","공시연도"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 종로구","1111014600","01","S010002391","서울재동초등학교","02","공립","Y","교복 미착용 학교","","","","","","","","","","","","","","","2","초","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 종로구","1111017400","01","S010002392","서울창신초등학교","02","공립","Y","교복 이용하지 않는 초등","","","","","","","","","","","","","","","2","초","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 중구","1114016200","01","S010002393","서울청구초등학교","02","공립","Y","초등학교로 교복미착용 학교로 제외처리함.","","","","","","","","","","","","","","","2","초","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 종로구","1111010100","01","S010002394","서울청운초등학교","02","공립","Y","해당사항 없음","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 용산구","1117011000","01","S010002395","서울청파초등학교","02","공립","Y","교복미착용으로 본교해당없음","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 중구","1114014400","01","S010002396","서울충무초등학교","02","공립","Y","초등학교 교복 미착용","","","","","","","","","","","","","","","2","초","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 용산구","1117012800","01","S010002397","서울한강초등학교","02","공립","Y","교복없음","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 용산구","1117013100","01","S010002398","서울한남초등학교","02","공립","Y","교복 착용하지 않음","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 종로구","1111016900","01","S010002399","서울혜화초등학교","02","공립","Y","해당없음","","","","","","","","","","","","","","","2","초","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 종로구","1111016200","01","S010002400","서울효제초등학교","02","공립","Y","해당없음","","","","","","","","","","","","","","","2","초","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 용산구","1117010100","01","S010002401","서울후암초등학교","02","공립","Y","교복 미착용으로 해당사항 없음","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 중구","1114016200","01","S010002402","서울흥인초등학교","02","공립","Y","교복을 착용하지 않음","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 중구","1114014200","01","S010002403","숭의초등학교","02","사립","N",""," "," ","○"," ",""," ",""," "," ","○"," ",""," ","","","","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 용산구","1117011100","01","S010002404","신광초등학교","02","사립","N",""," "," ","○"," ",""," ",""," "," ","○"," ",""," ","","","","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 종로구","1111013200","01","S010002405","운현초등학교","02","사립","Y","교복 미사용","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시강서양천교육지원청","B100000271","서울특별시 양천구","1147010100","01","S010002495","서울신기초등학교","02","공립","Y","해당없음","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시남부교육지원청","B100000282","서울특별시 금천구","1154510300","01","S010005177","서울금동초등학교","02","공립","Y","해당없음","","","","","","","","","","","","","","","2","초","2022"
"서울특별시교육청","B100000001","서울특별시북부교육지원청","B100000315","서울특별시 노원구","1135010500","01","S010005178","서울덕암초등학교","02","공립","Y","해당사항 없음","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시동작관악교육지원청","B100000304","서울특별시 관악구","1162010100","01","S010005179","서울봉현초등학교","02","공립","Y","해당사항 없음.","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시성동광진교육지원청","B100000337","서울특별시 광진구","1121510300","01","S010005203","서울광진초등학교","02","공립","Y","본교는 교복을 입지 않으므로 제외처리 함","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시서부교육지원청","B100000326","서울특별시 은평구","1138010300","01","S010005213","서울연광초등학교","02","공립","Y","본교는 교복을 사용하지않습니다.","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시남부교육지원청","B100000282","서울특별시 구로구","1153010600","01","S010005214","서울고원초등학교","02","공립","Y","교복 미착용 학교","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시북부교육지원청","B100000315","서울특별시 도봉구","1132010700","01","S010005215","서울가인초등학교","02","공립","Y","해당없음","","","","","","","","","","","","","","","2","초","2022"
"서울특별시교육청","B100000001","서울특별시동부교육지원청","B100000293","서울특별시 중랑구","1126010400","01","S010005236","서울묵현초등학교","02","공립","Y","본교는 교복미착용 학교이므로 제외처리함","","","","","","","","","","","","","","","","","2022"
