"시도교육청","시도교육청코드","교육지원청","교육지원청코드","지역","지역코드","소재지구분코드","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","교수학습공간 일반교실","교수학습공간 교과교실","교수학습공간 특별교실","교수학습공간 수준별교실","교수학습공간 기타","학습지원공간 시청각실","학습지원공간 컴퓨터실","학습지원공간 멀티미디어실","학습지원공간 가타","교원지원공간","관리행정공간","체육집회공간","보건실","학생탈의실","학생샤워실","남자화장실","여자화장실","공용화장실","학생식당","기숙사실수","기타공간","학교과정구분값(2-3-4)","학교과정구분명(초-중-고)","공시연도"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 강동구","1174010600","01","S010000925","서울선린초등학교","02","공립","N","","29","1","2","","1","1","","13","","5","16","1","1","","","11","11","1","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 강동구","1174010700","01","S010000926","서울선사초등학교","02","공립","N","","41","1","6","1","2","1","","5","","7","10","1","1","","","14","14","","","","","2","초","2021"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 강동구","1174010800","01","S010000927","서울성내초등학교","02","공립","N","","42","2","6","","","1","","6","","5","12","","1","","","11","11","","","","2","","","2021"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 강동구","1174010800","01","S010000928","서울성일초등학교","02","공립","N","","53","","8","","3","1","","16","","4","9","2","1","","","14","14","3","","","3","","","2021"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 송파구","1171011100","01","S010000929","서울세륜초등학교","02","공립","N","","37","","2","","","3","","3","","2","12","1","1","","","9","9","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 송파구","1171010100","01","S010000930","서울송전초등학교","02","공립","N","","35","","6","1","2","","1","1","","4","16","1","1","","","9","9","2","1","","1","","","2021"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 송파구","1171010400","01","S010000931","서울송파초등학교","02","공립","N","","33","","16","","","1","","","2","6","11","1","1","2","","11","11","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 송파구","1171010700","01","S010000932","서울신가초등학교","02","공립","N","","32","1","14","","1","1","","4","","3","12","1","2","","","10","10","","1","","2","","","2021"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 강동구","1174010500","01","S010000933","서울신명초등학교","02","공립","N","","29","3","9","","2","","","","","1","10","1","1","2","","11","11","","","","3","","","2021"
"서울특별시교육청","B100000001","서울특별시강동송파교육지원청","B100000260","서울특별시 강동구","1174010700","01","S010000934","서울신암초등학교","02","공립","N","","37","4","9","","","","1","10","","5","14","1","1","","","2","2","","","","","2","초","2021"
